State,Borehole Name,Borehole URI,Latitude,Longitude,Start Depth,EndDepth,File Modified Date,Download Link
SA,SR5,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/137871,-29.7457402,135.9249282,0,199,6/23/2022 4:58:16 AM,https://nvclstore.z8.web.core.windows.net/SA/137871_SR5.zip
SA,LY 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/256313,-31.4500323,137.1325978,25,667.4,6/23/2022 5:05:28 AM,https://nvclstore.z8.web.core.windows.net/SA/256313_LY2_M_P.zip
SA,RCDD07PD059,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/241339,-32.5323563,137.1703096,132.6,366.4,6/23/2022 4:54:53 AM,https://nvclstore.z8.web.core.windows.net/SA/241339_DD07PD59.zip
SA,PTR 3 / SAT 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/148490,-32.7893853,137.5534295,118.8,242,6/23/2022 4:59:25 AM,https://nvclstore.z8.web.core.windows.net/SA/148490_PTR3_SAT1.zip
SA,DD86EN 25,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141773,-29.6710892,135.3935184,91,367.5,6/23/2022 4:56:47 AM,https://nvclstore.z8.web.core.windows.net/SA/141773_DD86EN25.zip
SA,AD6,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/277551,-30.9743013,137.2459318,368,735.8,6/23/2022 5:06:41 AM,https://nvclstore.z8.web.core.windows.net/SA/277551_AD_6.zip
SA,RD2162,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/281155,-30.4480653,136.8828689,290,999,6/23/2022 4:53:53 AM,https://nvclstore.z8.web.core.windows.net/SA/281155_RD2162.zip
SA,MHDDH08,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/Pirsa/borehole/215369,-30.4085243,138.2213256,0,72,6/23/2022 4:58:34 AM,https://nvclstore.z8.web.core.windows.net/SA/215369_MHDDH_8.zip
SA,PPDH004,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/339100,-32.6457478,136.0053786,0,0,1/23/2023 2:33:32 AM,https://nvclstore.z8.web.core.windows.net/SA/339100_PPDH004.zip
SA,DD12COP015,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/284466,-26.361842,129.9270959,6.84,252.05,1/23/2023 2:33:26 AM,https://nvclstore.z8.web.core.windows.net/SA/284466_DD12COP015.zip
SA,RR-06-05,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/231346,-29.3102401,134.1319897,155.6,225.3,6/23/2022 5:03:42 AM,https://nvclstore.z8.web.core.windows.net/SA/231346_RR_06_05.zip
SA,RD2785,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/312946,-30.4447453,136.8937469,232.5,2323.4,6/23/2022 5:02:27 AM,https://nvclstore.z8.web.core.windows.net/SA/312946_RD2785.zip
SA,WD16,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/279521,-32.0940745,140.5766476,0,0,6/23/2022 5:00:54 AM,https://nvclstore.z8.web.core.windows.net/SA/279521_WD16.zip
SA,SH7,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/227935,-29.9820862,135.7175343,203.8,1467.5,6/23/2022 5:04:26 AM,https://nvclstore.z8.web.core.windows.net/SA/227935_SH7.zip
SA,RD38,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/333098,-30.4400664,136.8721019,328.8,999,6/23/2022 5:00:30 AM,https://nvclstore.z8.web.core.windows.net/SA/333098_RD38.zip
SA,LRC32D,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/169871,-31.2261351,134.7664475,228.4,450,6/23/2022 5:01:13 AM,https://nvclstore.z8.web.core.windows.net/SA/169871_LRC32D.zip
SA,THDDH07,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/Pirsa/borehole/218998,-30.2248793,138.0248926,0,105,6/23/2022 4:59:21 AM,https://nvclstore.z8.web.core.windows.net/SA/218998_THDDH_07.zip
SA,SLT 102,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/25361,-31.8290403,137.6276816,27,644,6/23/2022 5:05:24 AM,https://nvclstore.z8.web.core.windows.net/SA/25361_SLT012.zip
SA,WHD 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/1811,-26.3139,132.7310743,0,87.2,6/23/2022 5:02:34 AM,https://nvclstore.z8.web.core.windows.net/SA/1811_WHP_WHD2.zip
